,DateID,Date,Full Date Description,Day Of Week,Month,Year
121205,20190617,2019-06-17,Mon Jun 17 00:00:00 2019,Monday,June,2019
123238,20190618,2019-06-18,Tue Jun 18 00:00:00 2019,Tuesday,June,2019
125518,20190619,2019-06-19,Wed Jun 19 00:00:00 2019,Wednesday,June,2019
127661,20190620,2019-06-20,Thu Jun 20 00:00:00 2019,Thursday,June,2019
129756,20190621,2019-06-21,Fri Jun 21 00:00:00 2019,Friday,June,2019
131632,20190622,2019-06-22,Sat Jun 22 00:00:00 2019,Saturday,June,2019
133592,20190623,2019-06-23,Sun Jun 23 00:00:00 2019,Sunday,June,2019
134808,20190624,2019-06-24,Mon Jun 24 00:00:00 2019,Monday,June,2019
136860,20190625,2019-06-25,Tue Jun 25 00:00:00 2019,Tuesday,June,2019
159829,20190626,2019-06-26,Wed Jun 26 00:00:00 2019,Wednesday,June,2019
178560,20190627,2019-06-27,Thu Jun 27 00:00:00 2019,Thursday,June,2019
180744,20190628,2019-06-28,Fri Jun 28 00:00:00 2019,Friday,June,2019
223401,20190629,2019-06-29,Sat Jun 29 00:00:00 2019,Saturday,June,2019
226513,20190630,2019-06-30,Sun Jun 30 00:00:00 2019,Sunday,June,2019
228547,20190701,2019-07-01,Mon Jul  1 00:00:00 2019,Monday,July,2019
566339,20190702,2019-07-02,Tue Jul  2 00:00:00 2019,Tuesday,July,2019
573522,20190703,2019-07-03,Wed Jul  3 00:00:00 2019,Wednesday,July,2019
581073,20190704,2019-07-04,Thu Jul  4 00:00:00 2019,Thursday,July,2019
588414,20190705,2019-07-05,Fri Jul  5 00:00:00 2019,Friday,July,2019
594350,20190706,2019-07-06,Sat Jul  6 00:00:00 2019,Saturday,July,2019
600728,20190707,2019-07-07,Sun Jul  7 00:00:00 2019,Sunday,July,2019
605084,20190708,2019-07-08,Mon Jul  8 00:00:00 2019,Monday,July,2019
611058,20190709,2019-07-09,Tue Jul  9 00:00:00 2019,Tuesday,July,2019
617838,20190710,2019-07-10,Wed Jul 10 00:00:00 2019,Wednesday,July,2019
623113,20190711,2019-07-11,Thu Jul 11 00:00:00 2019,Thursday,July,2019
629574,20190712,2019-07-12,Fri Jul 12 00:00:00 2019,Friday,July,2019
635706,20190713,2019-07-13,Sat Jul 13 00:00:00 2019,Saturday,July,2019
641758,20190714,2019-07-14,Sun Jul 14 00:00:00 2019,Sunday,July,2019
645772,20190715,2019-07-15,Mon Jul 15 00:00:00 2019,Monday,July,2019
652303,20190716,2019-07-16,Tue Jul 16 00:00:00 2019,Tuesday,July,2019
658245,20190717,2019-07-17,Wed Jul 17 00:00:00 2019,Wednesday,July,2019
664373,20190718,2019-07-18,Thu Jul 18 00:00:00 2019,Thursday,July,2019
670470,20190719,2019-07-19,Fri Jul 19 00:00:00 2019,Friday,July,2019
676473,20190720,2019-07-20,Sat Jul 20 00:00:00 2019,Saturday,July,2019
682101,20190721,2019-07-21,Sun Jul 21 00:00:00 2019,Sunday,July,2019
685960,20190722,2019-07-22,Mon Jul 22 00:00:00 2019,Monday,July,2019
692642,20190723,2019-07-23,Tue Jul 23 00:00:00 2019,Tuesday,July,2019
698814,20190724,2019-07-24,Wed Jul 24 00:00:00 2019,Wednesday,July,2019
704462,20190725,2019-07-25,Thu Jul 25 00:00:00 2019,Thursday,July,2019
710354,20190726,2019-07-26,Fri Jul 26 00:00:00 2019,Friday,July,2019
715077,20190727,2019-07-27,Sat Jul 27 00:00:00 2019,Saturday,July,2019
721358,20190728,2019-07-28,Sun Jul 28 00:00:00 2019,Sunday,July,2019
725881,20190729,2019-07-29,Mon Jul 29 00:00:00 2019,Monday,July,2019
732111,20190730,2019-07-30,Tue Jul 30 00:00:00 2019,Tuesday,July,2019
738451,20190731,2019-07-31,Wed Jul 31 00:00:00 2019,Wednesday,July,2019
745295,20190801,2019-08-01,Thu Aug  1 00:00:00 2019,Thursday,August,2019
752591,20190802,2019-08-02,Fri Aug  2 00:00:00 2019,Friday,August,2019
758906,20190803,2019-08-03,Sat Aug  3 00:00:00 2019,Saturday,August,2019
765084,20190804,2019-08-04,Sun Aug  4 00:00:00 2019,Sunday,August,2019
769475,20190805,2019-08-05,Mon Aug  5 00:00:00 2019,Monday,August,2019
777354,20190806,2019-08-06,Tue Aug  6 00:00:00 2019,Tuesday,August,2019
784800,20190807,2019-08-07,Wed Aug  7 00:00:00 2019,Wednesday,August,2019
792466,20190808,2019-08-08,Thu Aug  8 00:00:00 2019,Thursday,August,2019
797358,20190809,2019-08-09,Fri Aug  9 00:00:00 2019,Friday,August,2019
805629,20190810,2019-08-10,Sat Aug 10 00:00:00 2019,Saturday,August,2019
813329,20190811,2019-08-11,Sun Aug 11 00:00:00 2019,Sunday,August,2019
818122,20190812,2019-08-12,Mon Aug 12 00:00:00 2019,Monday,August,2019
825521,20190813,2019-08-13,Tue Aug 13 00:00:00 2019,Tuesday,August,2019
832565,20190814,2019-08-14,Wed Aug 14 00:00:00 2019,Wednesday,August,2019
839762,20190815,2019-08-15,Thu Aug 15 00:00:00 2019,Thursday,August,2019
844399,20190816,2019-08-16,Fri Aug 16 00:00:00 2019,Friday,August,2019
852022,20190817,2019-08-17,Sat Aug 17 00:00:00 2019,Saturday,August,2019
859867,20190818,2019-08-18,Sun Aug 18 00:00:00 2019,Sunday,August,2019
864798,20190819,2019-08-19,Mon Aug 19 00:00:00 2019,Monday,August,2019
872729,20190820,2019-08-20,Tue Aug 20 00:00:00 2019,Tuesday,August,2019
880827,20190821,2019-08-21,Wed Aug 21 00:00:00 2019,Wednesday,August,2019
888207,20190822,2019-08-22,Thu Aug 22 00:00:00 2019,Thursday,August,2019
895875,20190823,2019-08-23,Fri Aug 23 00:00:00 2019,Friday,August,2019
903088,20190824,2019-08-24,Sat Aug 24 00:00:00 2019,Saturday,August,2019
910437,20190825,2019-08-25,Sun Aug 25 00:00:00 2019,Sunday,August,2019
915394,20190826,2019-08-26,Mon Aug 26 00:00:00 2019,Monday,August,2019
923664,20190827,2019-08-27,Tue Aug 27 00:00:00 2019,Tuesday,August,2019
931924,20190828,2019-08-28,Wed Aug 28 00:00:00 2019,Wednesday,August,2019
940005,20190829,2019-08-29,Thu Aug 29 00:00:00 2019,Thursday,August,2019
947928,20190830,2019-08-30,Fri Aug 30 00:00:00 2019,Friday,August,2019
955669,20190831,2019-08-31,Sat Aug 31 00:00:00 2019,Saturday,August,2019
